address,name,source,compiled_size,mapped_size,matching
0x08031D54,ClearAllBlocks,src/world/flag_arrays.c,52,52,yes
0x08031DB8,StepThenCheck,src/world/step_then_check.c,36,36,yes
0x08032058,IsEntityFlagSet,src/world/entity_flags.c,56,56,yes
0x08032090,GetEntityFixedFields,src/world/entity_accessors.c,20,20,yes
0x080320A4,GetEntityUnk0C,src/world/entity_accessors.c,4,4,yes
0x080320A8,GetEntityFlags,src/world/entity_accessors.c,8,8,yes
0x080320B0,GetEntityKind,src/world/entity_accessors.c,6,6,yes
0x080320B8,GetEntityUnk10,src/world/entity_accessors.c,4,4,yes
0x080320C8,SaveBufferCopy8To9,src/world/copy_flag_byte.c,12,12,yes
0x080320D4,SaveBufferCopy9To8,src/world/copy_flag_byte.c,12,12,yes
0x080336EC,VerifyId,src/world/id_verify.c,64,64,yes
0x0803372C,TriggerIfMatched,src/world/id_verify.c,64,64,yes
0x0803376C,ZeroThreeFlags,src/world/zero_three_flags.c,32,32,yes
0x0803378C,FUN_0803378c,src/world/wrap_0803378c.c,10,10,yes
0x0803379C,FUN_0803379c,src/world/wrap_0803379c.c,10,10,yes
0x08035DD8,FUN_08035dd8,src/world/wrap_08035dd8.c,10,10,yes
0x08037F1C,GetUnk0202F2C0,src/misc/state_getters.c,12,12,yes
0x08037F28,GetUnk0202F310,src/misc/state_getters.c,12,12,yes
0x08037F34,GetUnk02028270,src/misc/state_getters.c,12,12,yes
0x08037F40,GetUnk020282A0,src/misc/state_getters.c,12,12,yes
0x08037F4C,GetUnk0202F2D0,src/misc/state_getters.c,12,12,yes
0x08037F58,GetUnk02028290,src/misc/state_getters.c,12,12,yes
0x08037F64,GetUnk02028280,src/misc/state_getters.c,12,12,yes
0x08037F70,GetPoolBFirst,src/world/pool_first.c,12,12,yes
0x08037FAC,GetPoolA,src/world/pool_gets.c,12,12,yes
0x08037FB8,GetPoolB,src/world/pool_gets.c,12,12,yes
0x08037FC4,GetPoolC,src/world/pool_gets.c,12,12,yes
0x08037FD0,GetPoolD,src/world/pool_gets.c,12,12,yes
0x08037FDC,MarkAndClear,src/world/pool_gets.c,34,34,yes
0x08038000,ClearFlagNotify,src/world/clear_flag_notify.c,32,32,yes
0x08038020,ForwardZeroArg4,src/world/forward_zero_arg4.c,12,12,yes
0x080381F8,ProbeObject,src/world/object_query.c,58,58,yes
0x08038234,SubmitObject,src/world/submit_object.c,22,22,yes
0x0803824C,GetInnerId,src/world/get_inner_id.c,20,20,yes
0x08038260,ResolveObjectValue,src/world/object_value.c,54,54,yes
0x08038358,ForwardToSub,src/world/object_helpers.c,12,12,yes
0x08038364,IsObjectActive,src/world/object_helpers.c,28,28,yes
0x08038380,UpdateObject,src/world/object_helpers.c,32,32,yes
0x080383A0,GetObjectLinkId,src/world/object_helpers.c,24,24,yes
0x0803C050,ConfigureSlot,src/world/slot_config.c,64,64,yes
0x0803C090,GetActiveSlotValue,src/world/slot_config.c,36,36,yes
0x0803C0B4,GetSlotField,src/world/slot_config.c,48,48,yes
0x0803C178,GetSlotRange,src/world/slot_range.c,50,50,yes
0x0803C1AC,GetDefaultRange,src/world/slot_range.c,6,6,yes
0x0803C45C,SelectWordSource,src/world/select_word_source.c,32,32,yes
0x0803C49C,SelectSlotAB,src/world/slot_selectors.c,28,28,yes
0x0803C4B8,SelectSlotCD,src/world/slot_selectors.c,28,28,yes
0x0803C4D4,GetSubValue,src/world/slot_selectors.c,52,52,yes
0x0803C53C,GetUnitSize,src/world/slot_query.c,6,6,yes
0x0803C544,GetActiveSlot,src/world/slot_query.c,32,32,yes
0x0803C564,GetScaleStep,src/world/slot_query.c,20,20,yes
0x0803C578,MarkTarget,src/world/slot_query.c,26,26,yes
0x0803C594,IsTargetMarked,src/world/slot_query.c,32,32,yes
0x0803C77C,GetScaleFactor,src/misc/session_reset.c,20,20,yes
0x0803C790,ReturnOne,src/misc/session_reset.c,4,4,yes
