address,name,size,origin,partner,similarity,neighbours
0x0803C5B4,FUN_0803c5b4,92,fresh-neighbour,,,5
0x0803C6B8,FUN_0803c6b8,80,fresh-neighbour,,,5
0x0803C708,FUN_0803c708,52,fresh-neighbour,,,5
0x0803C7EC,FUN_0803c7ec,80,fresh-neighbour,,,4
0x0803C840,FUN_0803c840,96,fresh-neighbour,,,3
0x0803F35C,FUN_0803f35c,350,fresh-neighbour,,,3
0x0803F78C,FUN_0803f78c,70,fresh-neighbour,,,4
0x0803F7F8,FUN_0803f7f8,36,twin,0x0803F85C,1.000000,
0x0803F85C,FUN_0803f85c,36,twin,0x0803F7F8,1.000000,
0x0803F8DC,FUN_0803f8dc,50,twin,0x0803F910,1.000000,
0x0803F910,FUN_0803f910,50,twin,0x0803F8DC,1.000000,
0x08041EF8,FUN_08041ef8,56,fresh-neighbour,,,4
0x08041F30,FUN_08041f30,92,fresh-neighbour,,,4
0x0804200C,FUN_0804200c,76,fresh-neighbour,,,3
0x08042144,FUN_08042144,96,fresh-neighbour,,,3
0x080423D0,FUN_080423d0,40,fresh-neighbour,,,3
0x08042470,FUN_08042470,56,fresh-neighbour,,,4
0x08042574,FUN_08042574,180,fresh-neighbour,,,4
0x08042628,FUN_08042628,196,fresh-neighbour,,,4
0x080426EC,FUN_080426ec,150,fresh-neighbour,,,3
0x080480F4,FUN_080480f4,836,twin,0x08048438,0.988038,
0x08048438,FUN_08048438,836,twin,0x080480F4,0.988038,
0x0804FEE4,FUN_0804fee4,28,twin,0x080500DC,1.000000,
0x0804FFD8,FUN_0804ffd8,78,fresh-neighbour,,,3
0x08050040,FUN_08050040,62,fresh-neighbour,,,3
0x080500DC,FUN_080500dc,28,twin,0x0804FEE4,1.000000,
0x08050130,FUN_08050130,96,fresh-neighbour,,,4
0x080501C8,FUN_080501c8,192,fresh-neighbour,,,3
0x0805063C,FUN_0805063c,440,fresh-neighbour,,,3
0x08050A48,FUN_08050a48,68,fresh-neighbour,,,4
0x080512BC,FUN_080512bc,68,fresh-neighbour,,,4
0x0805131C,FUN_0805131c,62,fresh-neighbour,,,5
0x080521C4,FUN_080521c4,100,fresh-neighbour,,,3
0x080554C0,FUN_080554c0,84,fresh-neighbour,,,3
0x08055A24,ListHasFrame,68,fresh-neighbour,,,6
0x08055D90,FUN_08055d90,98,fresh-neighbour,,,4
0x08055DF4,FUN_08055df4,96,fresh-neighbour,,,3
0x08058140,FUN_08058140,116,twin,0x080581B4,0.965517,
0x080581B4,FUN_080581b4,116,twin,0x08058140,0.965517,
0x08059FE8,FUN_08059fe8,58,twin,0x0805A070,0.931034,
0x0805A070,FUN_0805a070,58,twin,0x08059FE8,0.931034,
0x0805AB90,FUN_0805ab90,76,fresh-neighbour;twin,0x0805AEFC,0.947368,3
0x0805ABDC,FUN_0805abdc,52,fresh-neighbour;twin,0x0805AC10,0.923077,4
0x0805AC10,FUN_0805ac10,52,fresh-neighbour;twin,0x0805ABDC,0.923077,4
0x0805AD10,FUN_0805ad10,86,fresh-neighbour;twin,0x0805AD68,1.000000,3
0x0805AD68,FUN_0805ad68,86,fresh-neighbour;twin,0x0805AD10,1.000000,3
0x0805AEFC,FUN_0805aefc,76,twin,0x0805AB90,0.947368,
0x0805B2A4,FUN_0805b2a4,24,twin,0x0805B854,0.916667,
0x0805B388,FUN_0805b388,130,twin,0x0805B484,0.969231,
0x0805B484,FUN_0805b484,130,twin,0x0805B388,0.969231,
0x0805B854,FUN_0805b854,24,twin,0x0805B2A4,0.916667,
0x0805E61C,FUN_0805e61c,92,fresh-neighbour,,,3
0x0805E68C,FUN_0805e68c,56,fresh-neighbour,,,3
0x0805E700,FUN_0805e700,200,fresh-neighbour,,,3
0x080621F0,FUN_080621f0,82,fresh-neighbour,,,3
0x08062244,FUN_08062244,78,fresh-neighbour,,,4
0x080623AC,FUN_080623ac,56,fresh-neighbour,,,4
0x0806240C,FUN_0806240c,80,fresh-neighbour,,,4
0x0806245C,FUN_0806245c,92,fresh-neighbour;twin,0x080624B8,0.978261,3
0x080624B8,FUN_080624b8,92,twin,0x0806245C,0.978261,
0x0806254C,FUN_0806254c,84,fresh-neighbour,,,3
0x080625A0,FUN_080625a0,48,fresh-neighbour,,,3
0x080625D0,FUN_080625d0,92,fresh-neighbour,,,3
0x08063C88,FUN_08063c88,28,twin,0x08063D3C,0.857143,
0x08063D3C,FUN_08063d3c,28,twin,0x08063C88,0.857143,
0x08063DE8,FUN_08063de8,44,fresh-neighbour,,,4
0x08067524,FUN_08067524,82,fresh-neighbour,,,4
0x08067578,FUN_08067578,86,fresh-neighbour,,,3
0x0806B88C,FUN_0806b88c,370,fresh-neighbour,,,4
0x0806BA18,FUN_0806ba18,234,fresh-neighbour,,,3
0x0806CA24,FUN_0806ca24,74,twin,0x0806CA70,1.000000,
0x0806CA70,FUN_0806ca70,74,twin,0x0806CA24,1.000000,
0x0806CABC,FUN_0806cabc,76,twin,0x0806CB08,1.000000,
0x0806CB08,FUN_0806cb08,76,twin,0x0806CABC,1.000000,
0x0806CB54,FUN_0806cb54,74,twin,0x0806CA24,1.000000,
0x0806CBA0,FUN_0806cba0,74,twin,0x0806CA24,1.000000,
0x0806D810,FUN_0806d810,78,twin,0x0806D860,1.000000,
0x0806D860,FUN_0806d860,78,twin,0x0806D810,1.000000,
0x0806D8B0,FUN_0806d8b0,80,twin,0x0806D900,1.000000,
0x0806D900,FUN_0806d900,80,twin,0x0806D8B0,1.000000,
0x0806D950,FUN_0806d950,78,twin,0x0806D810,1.000000,
0x0806D9A0,FUN_0806d9a0,78,twin,0x0806D810,1.000000,
0x080716E8,FUN_080716e8,48,twin,0x08071D20,1.000000,
0x08071918,FUN_08071918,38,twin,0x08071A24,0.947368,
0x08071A24,FUN_08071a24,38,twin,0x08071918,0.947368,
0x08071B9C,_exit,32,twin,0x08071BBC,1.000000,
0x08071BBC,_kill,32,twin,0x08071B9C,1.000000,
0x08071C90,FUN_08071c90,52,twin,0x08071DB4,1.000000,
0x08071D20,FUN_08071d20,48,twin,0x080716E8,1.000000,
0x08071D8C,abort,32,twin,0x08071B9C,0.937500,
0x08071DB4,FUN_08071db4,52,twin,0x08071C90,1.000000,
0x08071DE8,FUN_08071de8,52,twin,0x08071C90,1.000000,
